realid,numberid,lab,treatment,response,ideology_ra,left,extreme
101,1,1,0,"Economic inequality is definitely a serious issue in the United States which only appears to be growing more and more popular in the eyes of the news and government. While I do belive that steps should be taken to ensure that individuals are kept off the streets (but also left with more money than they can handle), it would be wise to strive for at least a small closing of the gap, in order to ensure that communism does not become a possibility. The governemtn should take steps to limit the amount of wealth that any one person can achieve, and should also take steps to open more homeless shelters and small businesses within the US to provide for those with nothing. If this were to be achieved, less people would be homeless and struggling, and more people would be kept from growing corrupted due to excessive and uncontrollable income.",1,0,0
103,2,1,0,"I think that it is a problem because there are people with too much money and people with too little. i dont think its the governements problem, but i do think they should do more to help the poor. ",0,0,0
105,3,1,0,There is clearly a gap in economic inequality in our present day country. I don't think people in high sconminc classes should be punished rather there just be more and fair oppounties for the econimically disadvantged to obtain what they are lacking.,0,0,0
106,4,1,1,"I don't think its a huge issue. The government already does things to try and help the poor but a lot of times it is abused by the poorer citizens (food stamps, etc..).",0,0,0
107,5,1,0,"I do believe economic inequality is a serious issue in the US. I am from inner-city Cleveland, and the economic (and racial) segregation of the city is ridiculous. This results in a lot of gentrification, which is terrible of course because the ""rich"" try to force the ""poor"" out of their own homes, often times in an attempt to ""help the poor"". I haven't entirely figured out my political beliefs, and am currently debating between socialist ideoligies/policies and libertarian ideologies, which are very contrasting... So I'm not sure what policies I think we should pursue at this moment in time.",1,1,0
108,6,1,1,"I think the inequality between the rich and poor are essential based on the education and opportunity they had. Society needs diffferent jobs which differ in wages. The rich guys make more money due to the sacriface they made when they were young, while people gave up themselves long ago have lower living standard.",0,0,1
109,7,1,0,"The United States is a free market and capitalistic society, as it should be. Although, I am against Socialism (due to the fact that history proves its failures), Capitalism has its extremes as well ; which is the route we're heading towards. With a larger gap between social classes. It's true that the rich keep getting richer and the poor stay poor, but now - the middle class is getting poorer. This will lead to the collapse of capitalism and if we do not change our corrupt foreign policies that are serving the wealthy (who do not have American interests), in fact, have more interest for Israel than they do for their own country.",0,0,0
112,8,1,1,"i do think economic inequality is a real problem in the U.S. The government should pursue policies to reduce the economic equality so that the wealth is spread more evenly among citizens. The U.S. is known to be a very wealthy country, but something is wrong if only the top 1% of people own that wealth.",1,1,0
114,9,1,1,"Yes, I believe economic inequality is a problem in the United States. Yes, I think the government of the United States should pursue policies to reduce economic inequality. I do not know enough about economics or government policies to offer a possible solution, but I do not think that it is ethical for some to live in complete luxury while a large percentage of men, women and children are without food and shelter.",1,1,0
115,10,1,0,"I do think there is significant economic inequality in the United States.  If you look at the top 1%, they tend to make more than the whole world combined.  The elite class benefits from this only, while the poor continue to get poorer.  There needs to be policies implemented to tax the weathly properly; no one needs that amount of money for the short period of time they are on Earth.  One policy I do agree with is the Green New Deal, as the environment is rapidly declining and we need immediate action.  The super weathly should be paying heavy taxes, and it is time that is fair for the rich and poor to invest in society.  However, I doubt the Green New Deal would ever pass with our current Congress and President, who deny climate change is occuring.",1,1,1
118,11,1,0,yes I think there is a problem with economic inequality in the U.S. Yes I think the government should pursue policies to reduce the economic inequality. I am not very sure about what policies to implement.,0,1,0
121,12,1,0,"yes, i believe it's a large problem in the us. the government should be working on solving this issue to make society more equitable for its citizens. the rich should be taxed at a higher percentage of their income than the poor should be taxed. everyone should have a shot at an equitable existence, and this is one way to try and ensure this.",1,1,0
122,13,1,1,"Yes, I beleive economic inequiality is a problem in the US. The US government should have policies that allow poor people to change their poor status and one of the most significant way to do so by helping poor people with their education. This could be adapted by eliminating the differences between education of all age, not only college education.",1,1,0
123,14,1,0,I think that economic inequality is an issue in the United States. Not everyone is given the same opportunies that America promises and it is not fair or right. I think the government should pursue policies to reduce the economic inequality in this country to some extent. I would like to see the taxes on the wealthy increase change and  the wage gap beetween men and women become outlawed.,1,1,0
125,15,1,0,I do not think economic inequality is an issue the united states should currently be concerned about.,0,0,1
126,16,1,1,"I do not think economic equality is an issue in the United States nor do I believe the government should impliment laws to lessen it. I believe the people hold the power over companies but are often scared to take it. For example, if a CEO won't pay his lower level emploies a decent living wage, the people have the right to unionize or leave and find better employment. This does have reprecautions but I believe the CEO/company would fold before the employee would. There are also lots of positions paying decent wages but they are ""dirty"" jobs nobody wants to do.",0,0,1
